역명,호선,위도,경도,시청과의거리,주소
성수,2호선,37.544628,127.055983,7.27807227999226,"100, 아차산로, 성수2가3동, 성동구, 서울, 04793, 대한민국"
건대입구,2호선,37.540408,127.069231,8.536003653998877,"건대입구, 243, 아차산로, 건대 맛의거리, 자양4동, 광진구, 서울, 05071, 대한민국"
구의(광진구청),2호선,37.536857,127.085024,9.980165127607712,"아차산로, 자양2동, 광진구, 서울, 05026, 대한민국"
강변(동서울터미널),2호선,37.535161,127.094684,10.8467556533417,"강변, 53, 강변역로, 구의3동, 광진구, 서울, 05116, 대한민국"
잠실나루,2호선,37.520688,127.103836,12.195612044500637,"잠실나루, 20, 오금로, 신천동, 잠실4동, 송파구, 서울, 05504, 대한민국"
잠실(송파구청),2호선,37.513305,127.100129,12.274547110801317,"올림픽로, 신천동, 잠실6동, 송파구, 서울, 05510, 대한민국"
잠실새내,2호선,37.520731,127.103738,12.18576099769279,"잠실나루, 20, 오금로, 신천동, 잠실4동, 송파구, 서울, 05504, 대한민국"
종합운동장,2호선,37.511008,127.073641,10.440311480029333,"종합운동장, 122, 올림픽로, 잠실7동, 송파구, 서울, 05556, 대한민국"
삼성(무역센터),2호선,37.508827,127.063203,9.869965894323528,"삼성역사거리, 테헤란로, 대치2동, 강남구, 서울, 06182, 대한민국"
선릉,2호선,37.504257,127.048174,9.278860254032153,"LIG강남빌딩, 334, 테헤란로, 역삼동, 역삼2동, 강남구, 서울, 06212, 대한민국"
역삼,2호선,37.500658,127.03643,8.949885320884862,"테헤란로, 역삼1동, 강남구, 서울, 06133, 대한민국"
강남,2호선,37.497958,127.027539,8.783927657306739,"강남역지하쇼핑센터, 서초대로, 역삼1동, 강남구, 서울, 06615, 대한민국"
"교대(법원, 검찰청)",2호선,37.493957,127.014631,8.691268495456143,"교대(법원·검찰청), 서초대로, 서초4동, 서초구, 서울, 06604, 대한민국"
서초,2호선,37.49191,127.007945,8.707839581620123,"동일하이빌, 240, 서초대로, 서초3동, 서초구, 서울, 06647, 대한민국"
방배,2호선,37.481469,126.997627,9.61824524884133,"방배로, 방배1동, 서초구, 서울, 06665, 대한민국"
사당,2호선,37.476536,126.981631,10.017577671480737,"사당고가차도, 남현동, 방배2동, 관악구, 서울, 08806, 대한민국"
낙성대(강감찬),2호선,37.47693,126.963783,10.050000734835862,"1932, 남부순환로, 인헌동, 관악구, 서울, 08793, 대한민국"
서울대입구(관악구청),2호선,37.481233,126.952745,9.752684350026053,"은행골 서울대입구역점, 174, 관악로, 봉천동, 낙성대동, 관악구, 서울, 08787, 대한민국"
봉천,2호선,37.482416,126.941896,9.89174803391042,"봉천, 지하 1721, 남부순환로, 은천동, 관악구, 서울, 08757, 대한민국"
신림,2호선,37.484216,126.929573,10.113362224574548,"신림, 1614, 남부순환로, 신림동, 관악구, 서울, 08754, 대한민국"
신대방,2호선,37.487534,126.913279,10.490274732396678,"신대방, 2, 대림로, 신대방1동, 동작구, 서울, 07070, 대한민국"
구로디지털단지,2호선,37.485005,126.902626,11.256554386714484,"구로디지털단지, 477, 도림천로, 대림2동, 영등포구, 서울, 08391, 대한민국"
대림(구로구청),2호선,37.492426,126.895293,11.020569997875965,"도림천 자전거길, 구로4동, 구로구, 서울, 08391, 대한민국"
신도림,2호선,37.508815,126.891222,10.004209200346551,"신도림, 688, 경인로, 신도림동, 구로구, 서울, 08209, 대한민국"
문래,2호선,37.517993,126.894766,9.12754614448941,"문래, 28, 당산로, 문래동3가, 문래동, 영등포구, 서울, 07290, 대한민국"
영등포구청,2호선,37.525766,126.896627,8.504493806588624,"영등포구청, 121, 당산로, 당산동3가, 당산1동, 영등포구, 서울, 07265, 대한민국"
당산,2호선,37.533877,126.902011,7.638414169655373,"당산, 229, 당산로, 당산동5가, 당산2동, 영등포구, 서울, 07214, 대한민국"
합정,2호선,37.550025,126.914557,5.904802642483086,"세아타워, 45, 양화로, 서교동, 마포구, 서울, 04045, 대한민국"
홍대입구,2호선,37.556748,126.923643,4.932037655818563,"대아빌딩, 162, 양화로, 홍대거리, 서교동, 마포구, 서울, 04050, 대한민국"
신촌(지하),2호선,37.555153,126.93689,3.857100724311369,"백범로, 창천동, 신촌동, 서대문구, 서울, 04101, 대한민국"
이대,2호선,37.556734,126.945897,3.0510683422654687,"신촌로, 11통, 대흥동, 마포구, 서울, 04116, 대한민국"
아현,2호선,37.557407,126.956079,2.2010615428982736,"아현, 270, 신촌로, 북아현동, 서대문구, 서울, 03774, 대한민국"
충정로(경기대입구),2호선,37.559742,126.964455,1.4309369868443476,"서소문로, 합동, 충현동, 서대문구, 서울, 03737, 대한민국"
용답,2호선,37.566412,126.977863,0.03567541364724834,"서울도서관, 110, 세종대로, 태평로1가, 명동, 중구, 서울, 04524, 대한민국"
신답,2호선,37.56147,127.056348,6.911174463781098,"자동차시장길, 용답동, 성동구, 서울, 04809, 대한민국"
