철도운영기관명,선명,역명,경도,위도
서울교통공사,6호선,응암,126.915583,37.59859
서울교통공사,6호선,역촌,126.922764,37.60605
서울교통공사,6호선,불광,126.929504,37.610919
서울교통공사,6호선,독바위,126.933035,37.618413
서울교통공사,6호선,연신내,127.091375,37.617293
서울교통공사,6호선,구산,126.920519,37.618596
서울교통공사,6호선,새절(신사),126.917246,37.611223
서울교통공사,6호선,증산(명지대앞),126.913613,37.591148
서울교통공사,6호선,디지털미디어시티,126.909785,37.583989
서울교통공사,6호선,월드컵경기장(성산),126.898643,37.577005
서울교통공사,6호선,마포구청,126.899077,37.569439
서울교통공사,6호선,망원,126.903326,37.563535
서울교통공사,6호선,합정,126.910129,37.556031
서울교통공사,6호선,상수,126.913546,37.549033
서울교통공사,6호선,광흥창(서강),126.92292,37.547704
서울교통공사,6호선,대흥(서강대앞),126.931971,37.547464
서울교통공사,6호선,공덕,126.942214,37.547732
서울교통공사,6호선,효창공원앞,126.951664,37.543592
서울교통공사,6호선,삼각지,126.961348,37.539279
서울교통공사,6호선,녹사평(용산구청),126.973996,37.535563
서울교통공사,6호선,이태원,126.98665,37.53469
서울교통공사,6호선,한강진,126.994369,37.534485
서울교통공사,6호선,버티고개,127.001729,37.53956
서울교통공사,6호선,약수,127.006948,37.547933
서울교통공사,6호선,청구,127.010237,37.554087
서울교통공사,6호선,신당,127.013776,37.560221
서울교통공사,6호선,동묘앞,127.016158,37.566174
서울교통공사,6호선,창신,127.015666,37.572275
서울교통공사,6호선,보문,127.015246,37.579772
서울교통공사,6호선,안암(고대병원앞),127.019377,37.585293
서울교통공사,6호선,고려대(종암),127.02903,37.586261
서울교통공사,6호선,월곡(동덕여대),127.03626,37.59034
서울교통공사,6호선,상월곡(한국과학기술연구원),127.041492,37.60192
서울교통공사,6호선,돌곶이,127.048509,37.606392
서울교통공사,6호선,석계,127.056419,37.610522
서울교통공사,6호선,태릉입구,127.065922,37.614937
서울교통공사,6호선,화랑대(서울여대입구),127.074741,37.617319
서울교통공사,6호선,봉화산(서울의료원),127.084106,37.619875
서울교통공사,6호선,신내,127.104326,37.612571
