철도운영기관명,선명,역명,경도,위도
서울교통공사,8호선,암사,127.127521,37.550127
서울교통공사,8호선,천호(풍납토성),127.123179,37.53792
서울교통공사,8호선,강동구청,127.120461,37.530348
서울교통공사,8호선,몽촌토성(평화의문),127.11274,37.517692
서울교통공사,8호선,잠실(송파구청),127.104267,37.514649
서울교통공사,8호선,석촌,127.106995,37.505396
서울교통공사,8호선,송파,127.11212,37.49978
서울교통공사,8호선,가락시장,127.118279,37.493004
서울교통공사,8호선,문정,127.122473,37.485931
서울교통공사,8호선,장지,127.126229,37.478609
서울교통공사,8호선,복정,127.126746,37.471016
서울교통공사,8호선,산성,127.149927,37.456886
서울교통공사,8호선,남한산성입구(성남법원·검찰청),127.159845,37.451568
서울교통공사,8호선,단대오거리,127.156735,37.445057
서울교통공사,8호선,신흥,127.14759,37.440952
서울교통공사,8호선,수진,127.140936,37.437575
서울교통공사,8호선,모란,127.129921,37.433888
서울교통공사,8호선,남위례,127.139047,37.462839
