철도운영기관명,선명,역명,경도,위도
서울교통공사,5호선,방화,126.812822,37.577669
서울교통공사,5호선,개화산,126.806838,37.572458
서울교통공사,5호선,김포공항,126.801273,37.56217
서울교통공사,5호선,송정,126.812052,37.561411
서울교통공사,5호선,마곡,126.82693,37.562182
서울교통공사,5호선,발산,126.82693,37.562182
서울교통공사,5호선,우장산,126.83633,37.548864
서울교통공사,5호선,화곡,126.840436,37.541585
서울교통공사,5호선,까치산,126.846706,37.53181
서울교통공사,5호선,신정(은행정),126.856176,37.525001
서울교통공사,5호선,목동,126.864296,37.526088
서울교통공사,5호선,오목교(목동운동장앞),126.875049,37.524557
서울교통공사,5호선,양평,126.886177,37.525614
서울교통공사,5호선,영등포구청,126.895022,37.524209
서울교통공사,5호선,영등포시장,126.905143,37.52276
서울교통공사,5호선,신길,126.914886,37.51763
서울교통공사,5호선,여의도,126.924318,37.521578
서울교통공사,5호선,여의나루,126.932807,37.527145
서울교통공사,5호선,마포,126.946043,37.539718
서울교통공사,5호선,공덕,126.951058,37.544005
서울교통공사,5호선,애오개,126.956733,37.553592
서울교통공사,5호선,충정로(경기대입구),126.962783,37.560061
서울교통공사,5호선,서대문,126.966639,37.565812
서울교통공사,5호선,광화문(세종문화회관),126.976568,37.570545
서울교통공사,5호선,종로3가(탑골공원),126.990447,37.572546
서울교통공사,5호선,을지로4가,126.998127,37.56658
서울교통공사,5호선,동대문역사문화공원,127.00533,37.564682
서울교통공사,5호선,청구,127.01379,37.560237
서울교통공사,5호선,신금호,127.020403,37.554504
서울교통공사,5호선,행당,127.029482,37.557297
서울교통공사,5호선,왕십리,127.037264,37.56197
서울교통공사,5호선,마장,127.042921,37.566066
서울교통공사,5호선,답십리,127.05266,37.566833
서울교통공사,5호선,장한평,127.064601,37.561438
서울교통공사,5호선,군자(능동),127.079559,37.557102
서울교통공사,5호선,아차산(어린이대공원후문),127.089609,37.552005
서울교통공사,5호선,광나루(장신대),127.103478,37.545301
서울교통공사,5호선,천호(풍납토성),127.123539,37.538566
서울교통공사,5호선,강동,127.13249,37.53581
서울교통공사,5호선,길동,127.140085,37.538022
서울교통공사,5호선,굽은다리(강동구민회관앞),127.142844,37.545442
서울교통공사,5호선,명일,127.144002,37.551317
서울교통공사,5호선,고덕,127.154214,37.555002
서울교통공사,5호선,상일동,127.166381,37.556714
서울교통공사,5호선,둔촌동,127.136219,37.527787
서울교통공사,5호선,올림픽공원(한국체대),127.130957,37.516217
서울교통공사,5호선,방이,127.126054,37.508752
서울교통공사,5호선,오금,127.127701,37.502228
서울교통공사,5호선,개롱,127.134817,37.498097
서울교통공사,5호선,거여,127.143983,37.493208
서울교통공사,5호선,마천,127.152784,37.494972
서울교통공사,5호선,강일,127.176018,37.557521
서울교통공사,5호선,미사,127.192954,37.56329
서울교통공사,5호선,하남풍산,127.203897,37.552201
서울교통공사,5호선,하남시청(덕풍·신장),127.206901,37.541723
서울교통공사,5호선,하남검단산역,127.223427,37.539729
