철도운영기관명,선명,역명,경도,위도
코레일,4호선,대공원,127.006474,37.435724
코레일,4호선,과천,126.996404,37.433205
코레일,4호선,인덕원,126.976818,37.401901
코레일,4호선,범계,126.950752,37.389783
코레일,4호선,대야미,126.91666,37.3281687
코레일,4호선,반월,,
코레일,4호선,정부과천청사,126.989802,37.426445
코레일,4호선,한대앞,126.853656,37.309685
코레일,4호선,선바위,127.002164,37.451854
코레일,4호선,경마공원,127.007899,37.443987
코레일,4호선,평촌,126.963881,37.394346
코레일,4호선,산본,126.925537,37.350297
코레일,4호선,수리산,126.925537,37.350297
코레일,4호선,상록수,126.866533,37.302845
코레일,4호선,중앙,126.838532,37.316055
코레일,4호선,초지,126.806151,37.320583
코레일,4호선,안산,126.788748,37.327006
코레일,4호선,신길온천,126.767306,37.337488
코레일,4호선,정왕,126.742844,37.351816
코레일,4호선,오이도,126.738437,37.361773
코레일,4호선,금정,126.943611,37.371957
코레일,4호선,고잔,126.823094,37.316821
서울교통공사,4호선,당고개,127.078404,37.66956
서울교통공사,4호선,상계,127.073199,37.660576
서울교통공사,4호선,노원,127.063183,37.656274
서울교통공사,4호선,창동,127.046746,37.652993
서울교통공사,4호선,쌍문,127.034381,37.648274
서울교통공사,4호선,수유(강북구청),127.024731,37.637127
서울교통공사,4호선,미아,127.026151,37.626435
서울교통공사,4호선,미아사거리,127.030083,37.613276
서울교통공사,4호선,길음,127.025353,37.604087
서울교통공사,4호선,성신여대입구(돈암),127.017338,37.592782
서울교통공사,4호선,한성대입구(삼선교),127.006751,37.58838
서울교통공사,4호선,혜화,127.001759,37.582116
서울교통공사,4호선,동대문,127.008835,37.57099
서울교통공사,4호선,동대문역사문화공원,127.008458,37.565141
서울교통공사,4호선,충무로,126.995473,37.561302
서울교통공사,4호선,명동,126.988271,37.561055
서울교통공사,4호선,회현(남대문시장),126.979565,37.559698
서울교통공사,4호선,서울역,126.972836,37.553172
서울교통공사,4호선,숙대입구(갈월),126.971952,37.545124
서울교통공사,4호선,삼각지,126.973354,37.535057
서울교통공사,4호선,신용산,126.96858,37.52919
서울교통공사,4호선,이촌(국립중앙박물관),126.97335,37.522525
서울교통공사,4호선,동작(현충원),126.980171,37.503567
서울교통공사,4호선,총신대입구(이수),126.982309,37.487521
서울교통공사,4호선,사당,126.981746,37.476563
서울교통공사,4호선,남태령,126.989081,37.464339
