철도운영기관명,선명,역명,경도,위도
서울교통공사,7호선,장암,127.053126,37.70015
서울교통공사,7호선,도봉산,127.046548,37.689131
서울교통공사,7호선,수락산,127.055314,37.677804
서울교통공사,7호선,마들,127.057701,37.664985
서울교통공사,7호선,노원,127.060555,37.654478
서울교통공사,7호선,중계,127.064084,37.645052
서울교통공사,7호선,하계,127.067999,37.636363
서울교통공사,7호선,공릉(서울과학기술대),127.072969,37.625642
서울교통공사,7호선,태릉입구,127.074741,37.617319
서울교통공사,7호선,먹골,127.077719,37.610638
서울교통공사,7호선,중화,127.079254,37.602604
서울교통공사,7호선,상봉(시외버스터미널),127.085708,37.595673
서울교통공사,7호선,면목,127.087503,37.588671
서울교통공사,7호선,사가정,127.088502,37.580912
서울교통공사,7호선,용마산,127.086802,37.573752
서울교통공사,7호선,중곡,127.084291,37.565877
서울교통공사,7호선,군자(능동),127.079484,37.557151
서울교통공사,7호선,어린이대공원(세종대),127.07465,37.547962
서울교통공사,7호선,건대입구,127.071103,37.540882
서울교통공사,7호선,뚝섬유원지,127.066714,37.531558
서울교통공사,7호선,청담,127.051851,37.519097
서울교통공사,7호선,강남구청,127.04122,37.517185
서울교통공사,7호선,학동,127.031738,37.514262
서울교통공사,7호선,논현,127.021385,37.511108
서울교통공사,7호선,반포,127.011717,37.508171
서울교통공사,7호선,고속터미널,127.005055,37.503387
서울교통공사,7호선,내방,126.993541,37.48764
서울교통공사,7호선,총신대입구(이수),126.981766,37.485258
서울교통공사,7호선,남성,126.971108,37.484688
서울교통공사,7호선,숭실대입구(살피재),126.953649,37.496258
서울교통공사,7호선,상도,126.947949,37.50279
서울교통공사,7호선,장승배기,126.939025,37.504845
서울교통공사,7호선,신대방삼거리,126.928218,37.499717
서울교통공사,7호선,보라매,126.920112,37.499916
서울교통공사,7호선,신풍,126.909806,37.500107
서울교통공사,7호선,대림(구로구청),126.896997,37.492984
서울교통공사,7호선,남구로,126.887372,37.486181
서울교통공사,7호선,가산디지털단지,126.882704,37.480376
서울교통공사,7호선,철산,126.868217,37.47616
서울교통공사,7호선,광명사거리,126.854854,37.47927
서울교통공사,7호선,천왕,126.838684,37.486699
서울교통공사,7호선,온수(성공회대입구),126.823294,37.492059
인천교통공사,7호선,까치울,,
인천교통공사,7호선,부천종합운동장,,
인천교통공사,7호선,춘의,,
인천교통공사,7호선,신중동,,
인천교통공사,7호선,부천시청,,
인천교통공사,7호선,상동,,
인천교통공사,7호선,삼산체육관,,
인천교통공사,7호선,굴포천,,
인천교통공사,7호선,부평구청,,
인천교통공사,7호선,산곡,,
인천교통공사,7호선,석남(거북시장),,
